fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-r-008067-1-0065,1,Success,TRUE,SAT_05992,2.212446746,14.58390425,-8.389429837,14.45986039,-8.282427565,,2009/9/28 10:15:43,SAT_05992,5.484859243,2.212446746,SAT_25881,4.743739275,16.61144293,SAT_27855,4.546987408,24.37939068
frame-r-008067-2-0066,1,Success,TRUE,SAT_00194,1.626449872,14.64080071,-8.015105466,14.62044973,-7.922134384,,2009/9/28 10:16:19,SAT_00194,4.963066019,1.626449872,SAT_05992,5.484859243,34.47330334,SAT_25678,2.409974589,45.29983852
frame-r-008067-3-0073,1,No match,FALSE,,inf,15.6053816,-7.365669326,15.63613056,-7.348277676,FOVNotMatch,2009/9/28 10:20:29,SAT_14128,0.881231144,15.01163543,SAT_18443,4.835702566,15.4582195,SAT_19347,4.408984426,15.52329998
frame-r-008067-6-0081,1,Success,TRUE,SAT_28379,1.670019446,16.78276481,-6.212680289,16.94801883,-6.246664274,,2009/9/28 10:25:16,SAT_28379,4.375104713,1.670019446,SAT_33462,4.995407083,4.595652426,SAT_25928,5.492825673,4.968105092
frame-r-008067-6-0082,1,Success,TRUE,SAT_28379,1.552397737,16.93255103,-6.173970605,17.09759537,-6.20756287,,2009/9/28 10:25:52,SAT_28379,4.375104713,1.552397737,SAT_33462,4.995407083,4.478030716,SAT_25928,5.492825673,4.850483383
frame-r-008067-6-0082,2,No match,FALSE,,inf,16.93369209,-6.209905708,17.03250498,-6.169728976,FOVNotMatch,2009/9/28 10:25:52,SAT_13983,5.51075853,6.839673165,SAT_14128,0.069604067,7.534595912,SAT_18443,4.814022886,7.971497305
frame-r-008067-2-0115,1,No match,FALSE,,inf,21.9620752,-7.68235965,22.00667888,-7.572040208,FOVNotMatch,2009/9/28 10:45:34,SAT_14790,4.291934855,10.13637197,SAT_10653,5.765316794,21.26185954,SAT_23433,3.700588377,23.11120505
frame-r-008067-1-0116,1,No match,FALSE,,inf,22.12664948,-8.014821045,22.13812004,-7.986186031,FOVNotMatch,2009/9/28 10:46:10,SAT_14790,4.291934855,9.935789405,SAT_10653,5.765316794,21.06127697,SAT_23433,3.700588377,22.91062249
frame-r-008067-2-0116,1,No match,FALSE,,inf,22.21724963,-7.787099971,22.27654307,-7.63956755,FOVNotMatch,2009/9/28 10:46:10,SAT_14790,4.291934855,10.01422622,SAT_10653,5.765316794,21.13971378,SAT_23433,3.700588377,22.9890593
frame-r-008067-1-0117,1,No match,FALSE,,inf,22.34915174,-8.202450412,22.44020803,-7.974721993,FOVNotMatch,2009/9/28 10:46:46,SAT_14790,4.291934855,9.895620234,SAT_10653,5.765316794,21.0211078,SAT_23433,3.700588377,22.87045332
frame-r-008083-1-0122,1,Success,TRUE,SAT_29645,2.448348056,330.796024,-5.31937609,330.9591382,-5.335003141,,2009/10/10 3:11:31,SAT_29645,5.752407064,2.448348056,SAT_23536,5.50276481,4.988608059,SAT_29494,3.907982385,5.44646154
frame-r-008083-1-0114,1,No match,FALSE,,inf,329.59163,-5.318205693,329.7550451,-5.334380442,FOVNotMatch,2009/10/10 3:06:45,SAT_23536,5.522392144,5.132327015,SAT_29494,3.906449724,5.625943843,SAT_29236,1.507850854,5.628471798
frame-r-008083-1-0115,1,No match,FALSE,,inf,329.7419384,-5.318239766,329.9055717,-5.33455112,FOVNotMatch,2009/10/10 3:07:21,SAT_23536,5.522392144,5.172371728,SAT_29494,3.906449724,5.665988555,SAT_29236,1.507850854,5.668516511
frame-r-008083-1-0129,1,Success,TRUE,SAT_28040,1.992723341,331.8491076,-5.320275006,332.0125848,-5.335700822,,2009/10/10 3:15:42,SAT_28040,5.780009748,1.992723341,SAT_29645,5.383716227,2.176876093,SAT_23536,5.486061137,4.939066764
frame-r-008083-1-0142,1,Success,TRUE,SAT_28040,1.007024295,333.8060525,-5.322242815,333.9690295,-5.336713887,,2009/10/10 3:23:28,SAT_28040,3.332931143,1.007024295,SAT_29645,5.405588051,1.589135256,SAT_24315,5.478205165,5.036769151
frame-r-008095-3-0018,1,Success,TRUE,SAT_10338,1.729364194,317.4849698,-5.328244721,317.6468009,-5.359554666,,2009/10/15 1:50:16,SAT_10338,2.828132405,1.729364194,SAT_25126,2.084730489,8.902180175,SAT_28466,4.950329657,8.948493369
frame-r-008095-3-0019,1,Success,TRUE,SAT_10338,1.83257678,317.6361919,-5.328620841,317.7978149,-5.359589795,,2009/10/15 1:50:52,SAT_10338,2.828132405,1.83257678,SAT_25126,2.084730489,8.798967588,SAT_28466,4.950329657,8.845280782
frame-r-008095-3-0022,1,Success,TRUE,SAT_10338,1.866511934,318.1201543,-5.334954404,318.2508854,-5.359924034,,2009/10/15 1:52:40,SAT_10338,2.828132405,1.866511934,SAT_25126,2.084730489,8.765032435,SAT_28466,4.950329657,8.811345629
frame-r-008095-4-0046,1,No match,FALSE,,inf,321.7129491,-5.332856458,321.8747157,-5.361764324,FOVNotMatch,2009/10/15 2:07:00,SAT_20674,3.809962992,5.784699067,SAT_15199,5.107740623,7.735276762,SAT_26039,3.049073264,7.990755032
frame-r-008095-4-0048,1,Success,TRUE,SAT_01805,3.037345406,322.0146626,-5.333094355,322.1765876,-5.361754732,,2009/10/15 2:08:11,SAT_01805,0.221378546,3.037345406,SAT_20674,2.689034451,5.273291701,SAT_27793,1.118787959,7.244630075
frame-r-008095-4-0050,1,Success,TRUE,SAT_01805,3.030311372,322.3165213,-5.333380945,322.4785207,-5.362034023,,2009/10/15 2:09:23,SAT_01805,0.221378546,3.030311372,SAT_20674,2.689034451,5.266257667,SAT_27793,1.118787959,7.237596041
frame-r-008095-4-0051,1,Success,TRUE,SAT_01805,3.047422231,322.467636,-5.333578816,322.6294118,-5.362241968,,2009/10/15 2:09:59,SAT_01805,0.221378546,3.047422231,SAT_20674,2.689034451,5.283368526,SAT_27793,1.118787959,7.2547069
