fits_file,streak_id,status,matched,satellite_name,min_angle_error,start_ra,start_dec,end_ra,end_dec,error,obs_time,candidate_1_name,candidate_1_separation,candidate_1_angle_error,candidate_2_name,candidate_2_separation,candidate_2_angle_error,candidate_3_name,candidate_3_separation,candidate_3_angle_error
frame-g-001045-4-0162,1,Success,TRUE,SAT_19332,2.182137316,58.22941489,-5.700587351,58.39022293,-5.669855638,,1999/10/14 11:19:49.00,SAT_19332,0.093043764,2.182137316,SAT_23177,5.777581035,3.401767543,SAT_15825,5.78197001,4.252493544
frame-g-001045-4-0163,1,Success,TRUE,SAT_19332,2.092990372,58.37925466,-5.68738275,58.54065535,-5.65627787,,1999/10/14 11:20:25.00,SAT_19332,0.093043764,2.092990372,SAT_23177,5.777581035,3.312620599,SAT_15825,5.78197001,4.341640488
frame-g-001045-4-0153,1,Success,TRUE,SAT_18328,0.542648313,56.87855831,-5.819856316,57.02755594,-5.791989957,,1999/10/14 11:14:27.00,SAT_18328,5.978636726,0.542648313,SAT_19332,0.017221551,2.846378187,SAT_15825,5.789258817,4.007691544
frame-g-001045-4-0156,1,Success,TRUE,SAT_18328,0.687757531,57.3290958,-5.780161128,57.48922701,-5.749792375,,1999/10/14 11:16:14.00,SAT_18328,5.978636726,0.687757531,SAT_19332,0.017221551,2.701268969,SAT_15825,5.789258817,4.152800762
frame-g-001045-4-0158,1,Success,TRUE,SAT_18328,0.537896616,57.62895134,-5.753263902,57.78962138,-5.723224645,,1999/10/14 11:17:26.00,SAT_18328,5.978636726,0.537896616,SAT_19332,0.017221551,2.851129883,SAT_15825,5.789258817,4.002939848
frame-g-001045-6-0141,1,Success,TRUE,SAT_22910,0.67014273,54.97557819,-5.224680536,55.03588632,-5.2221915,,1999/10/14 11:07:17.00,SAT_22910,2.389695105,0.67014273,SAT_24820,5.941444769,0.792123594,SAT_15994,3.432277324,1.942846045
frame-g-001045-4-0168,1,Success,TRUE,SAT_19332,1.594300503,59.12989091,-5.621114056,59.29098958,-5.589838163,,1999/10/14 11:23:24.00,SAT_19332,0.82965705,1.594300503,SAT_23177,5.401433534,3.068287306,SAT_15825,5.775775261,4.439320612
frame-g-001045-4-0169,1,Success,TRUE,SAT_19332,1.55815237,59.27985058,-5.607675895,59.44113904,-5.576257292,,1999/10/14 11:24:00.00,SAT_19332,0.82965705,1.55815237,SAT_23177,5.401433534,3.032139173,SAT_15825,5.775775261,4.475468745
frame-g-001045-4-0170,1,No match,FALSE,N/A,inf,59.49439607,-5.399891789,59.55025823,-5.554307881,FOVNotMatch,1999/10/14 11:24:36.00,SAT_21288,3.592231339,8.229378131,SAT_21549,2.085276784,26.2374194,SAT_24919,1.968096212,59.30866605
frame-g-001045-4-0170,2,Success,TRUE,SAT_19332,1.620094788,59.43008686,-5.59408532,59.59044842,-5.56302568,,1999/10/14 11:24:36.00,SAT_19332,0.82965705,1.620094788,SAT_23177,5.401433534,3.094081591,SAT_15825,5.775775261,4.413526327
frame-g-001045-4-0175,1,Success,TRUE,SAT_19332,0.925005903,60.18019712,-5.527845644,60.34103003,-5.495964893,,1999/10/14 11:27:35.00,SAT_19332,2.679112812,0.925005903,SAT_23177,5.011448745,2.677301524,SAT_15825,5.769798583,4.685934369
frame-g-001045-3-0200,1,Success,TRUE,SAT_23177,1.260982106,63.93096721,-5.194917406,64.09096389,-5.160801565,,1999/10/14 11:42:31.00,SAT_23177,3.534011568,1.260982106,SAT_15825,5.790597585,5.604869346,SAT_20502,3.376667137,5.631602709
